activity_column,class,rank,sensor,importance,n_samples
LL_Left_Arm,clean,3,Accelerometer_KNIFE1_accX_2,0.07127031002366054,1003.0
LL_Left_Arm,clean,4,Accelerometer_KNIFE1_accX,0.05918328679427286,1003.0
LL_Left_Arm,clean,5,Accelerometer_KNIFE2_accX,0.05508607010671183,1003.0
LL_Left_Arm,clean,6,LOCATION_TAG1_X,0.053288091333258826,1003.0
LL_Left_Arm,clean,7,LOCATION_TAG1_Y,0.046565615042589485,1003.0
LL_Left_Arm,clean,8,Accelerometer_GLASS_gyroX,0.04505887164722705,1003.0
LL_Left_Arm,clean,9,Accelerometer_PLATE_accX_3,0.04346989618168852,1003.0
LL_Left_Arm,clean,10,Accelerometer_GLASS_accX_3,0.03241816172865835,1003.0
LL_Left_Arm,close,1,InertialMeasurementUnit_LLA_magneticX,0.039152775037073186,10933.0
LL_Left_Arm,close,2,InertialMeasurementUnit_BACK_magneticZ,0.03266881009778978,10933.0
LL_Left_Arm,close,3,InertialMeasurementUnit_RUA_magneticY,0.030965208162252067,10933.0
LL_Left_Arm,close,4,Accelerometer_FRIDGE_accY,0.02394478921908348,10933.0
LL_Left_Arm,close,5,InertialMeasurementUnit_LUA_magneticY,0.02101064597817252,10933.0
LL_Left_Arm,close,6,InertialMeasurementUnit_BACK_gyroX,0.019787563908202643,10933.0
LL_Left_Arm,close,7,InertialMeasurementUnit_RUA_gyroX,0.018261366332894356,10933.0
LL_Left_Arm,close,8,Accelerometer_LWR_accY,0.01716338967648164,10933.0
LL_Left_Arm,close,9,InertialMeasurementUnit_BACK_Quaternion1,0.016434013147608718,10933.0
LL_Left_Arm,close,10,InertialMeasurementUnit_RLA_magneticX,0.01610602865926402,10933.0
LL_Left_Arm,cut,1,InertialMeasurementUnit_BACK_Quaternion1,0.11614631951982536,728.0
LL_Left_Arm,cut,2,InertialMeasurementUnit_BACK_Quaternion3,0.048821531565215556,728.0
LL_Left_Arm,cut,3,InertialMeasurementUnit_LUA_magneticZ,0.047648539866691285,728.0
LL_Left_Arm,cut,4,InertialMeasurementUnit_R-SHOE_EuX,0.04723495756834192,728.0
LL_Left_Arm,cut,5,Accelerometer_KNIFE2_accX_3,0.04669915478654858,728.0
LL_Left_Arm,cut,6,InertialMeasurementUnit_RUA_magneticZ,0.04224159064947163,728.0
LL_Left_Arm,cut,7,LOCATION_TAG1_Y,0.03878387339698719,728.0
LL_Left_Arm,cut,8,LOCATION_TAG1_X,0.03604869990465216,728.0
LL_Left_Arm,cut,9,InertialMeasurementUnit_BACK_magneticX,0.034883835773849486,728.0
LL_Left_Arm,cut,10,LOCATION_TAG4_X,0.024416165587482747,728.0
LL_Left_Arm,move,1,InertialMeasurementUnit_LLA_accZ,0.03322627378997898,82887.0
